"Codigo","Elemento","Eje","Proposito","Indicador_sugerido","Contribucion_decision"
"EE-01","Interrelacionar el mapa de talento y conocimiento con el sistema de gestión de eventos","Intorno","Sostener la operación del campamento transitorio a partir de capacidades reales de sus habitantes","% de dignificados con historia viva registrada; brigadas activas","Permite asignar roles y reducir dependencia externa"
"EE-02","Lobear inteligenciadamente organismos en el entorno según requerimientos del campamento","Entorno","Movilizar apoyo local pertinente según necesidades específicas","Número de organismos contactados; acuerdos activos","Acelera ayuda local y reduce improvisación"
"EE-03","Lobear inteligenciadamente organismos en el extorno según requerimientos generalizados","Extorno","Conectar necesidades comunes de varios campamentos con actores externos","Organismos externos mapeados; requerimientos generalizados","Escala la gestión más allá del caso aislado"
"EE-04","Lobear organismos en el extorno según sus destrezas para sostener campamentos","Extorno","Alinear capacidades externas especializadas con problemas críticos","Destrezas mapeadas; oferta/competencia por organismo","Dirige la ayuda al problema correcto"
"EE-05","Dar sustento cognitivo y operativo a la funcionalidad del campamento mediante mapa de talento","Intorno","Convertir conocimientos de los dignificados en capacidades operativas","Roles cubiertos por talento interno; horas de servicio","Transforma población pasiva en comunidad organizada"
"EE-06","Implementar inventario inteligenciado de insumos acopiados en el entorno","Entorno","Conocer recursos disponibles y conectar oferta con demanda","Inventario actualizado; recursos redistribuidos","Disminuye escasez y duplicidad"
"EE-07","Inteligenciar organismos del entorno para sustento dinámico en tiempo real","Entorno","Actualizar apoyos según variación diaria de necesidades","Tiempo de respuesta; alertas atendidas","Mejora oportunidad de las decisiones"
"EE-08","Lobear entes que promueven bloqueo de insumos de soporte generalizado","Extorno","Anticipar barreras contextuales a la ayuda y activar alternativas","Riesgos de bloqueo identificados; rutas alternativas","Blindaje estratégico ante restricciones"
"EE-09","Identificación de un ERP libre customizable para soporte de campamentos","Intorno/Entorno","Soportar inventario, eventos, personas, donaciones y trazabilidad","ERP identificado/probado; módulos definidos","Ordena información y evita pérdida de control operativo"
"EE-10","Implementar mapa de talento y conocimiento para gestión de dignificados","Intorno","Registrar competencias, necesidades, patologías y posibilidades de colaboración","Cobertura del registro; coincidencias talento-necesidad","Base para brigadas, atención y transiliencia"
"EE-11","Inteligenciar normas de cumplimiento de organismos donantes","Extorno","Agilizar donaciones respetando requisitos de donantes","Requisitos documentados; donaciones aprobadas","Reduce trabas administrativas y riesgo legal"
"EE-12","Incorporar experiencias sísmicas acertadas al mapa de talento y conocimiento","Extorno/Intorno","Aprender de buenas prácticas nacionales/internacionales","Experiencias incorporadas; prácticas adaptadas","Convierte experiencia global en decisión local"
