"Fuente","Tipo","Uso","Aporte_SECP","Autoridad","Enlace"
"ISO 31000:2018","Norma internacional","Gestión de riesgos","Estructura el proceso de identificar, analizar, evaluar, tratar, monitorear y comunicar riesgos en el campamento transitorio.","Alta","https://www.iso.org/iso-31000-risk-management.html"
"IEC/ISO 31010","Norma internacional","Técnicas de evaluación de riesgos","Aporta técnicas como checklist, escenarios, matriz probabilidad-impacto, causa raíz, costo-beneficio y decisión multicriterio.","Alta","https://www.iso.org/standard/72140.html"
"ISO 22316","Norma internacional","Seguridad y resiliencia organizacional","Aporta atributos de resiliencia: propósito, liderazgo, cultura, información, recursos, contexto, coordinación, mejora continua y anticipación del cambio.","Alta","https://www.iso.org/standard/50053.html"
"ISO/TS 31050","Especificación técnica","Riesgos emergentes","Permite observar señales tempranas, incertidumbre, contexto cambiante e inteligencia de riesgo para anticipar amenazas emergentes.","Alta","https://www.iso.org/standard/72147.html"
"El Árbol para la Innovación - José Francisco Mirabal","Libro / marco cognitivo","I2E + T-A3D + 3S + gestión de beneficios","Aporta intorno-entorno-extorno, visión transformadora y herramientas cognitivas para convertir el campamento en sistema operativo de aprendizaje y gestión.","Alta","Fuente documental incorporada"
"Smart City - Eduardo Vivas, Tesis doctoral UCV","Tesis doctoral","Ciudad inteligente y sistemas complejos","Aporta la visión de ciudad inteligente como sistema sociocultural complejo compuesto por agentes, redes, conductas colectivas y espacio; orienta el tránsito del campamento a comunidad inteligente.","Alta","Fuente documental incorporada"
"La Estrategia del Océano Azul - W. Chan Kim y Renée Mauborgne","Libro / estrategia","Innovación de valor y reconstrucción de fronteras","Aporta la lógica de crear espacios nuevos de valor y dejar de competir por recursos escasos: transformar asistencia dispersa en modelo de valor humanitario diferenciado.","Media-Alta","Fuente documental incorporada"
"12 Elementos Estratégicos Clave Sistematizados","Documento estratégico","Lineamientos estratégicos del sistema","Define los 12 elementos que deben orientar decisiones, mapa de talento, inventario, lobbying inteligente, ERP y buenas prácticas sísmicas.","Alta","Fuente documental incorporada"
"FODA Sistémica Campamentos","Documento estratégico","FODA por Intorno, Entorno y Extorno","Estructura fortalezas, debilidades, oportunidades y amenazas por eje sistémico para orientar decisiones.","Alta","Fuente documental incorporada"
"Objetivos del Análisis Sistémico","Documento estratégico","Objetivo general y objetivos específicos","Convierte el FODA sistémico en objetivos operativos para intorno, entorno y extorno.","Alta","Fuente documental incorporada"
"Sphere Handbook / estándares humanitarios","Estándar humanitario","Condiciones mínimas de respuesta humanitaria","Aporta criterios humanitarios para agua, saneamiento, alojamiento, salud, seguridad y dignidad.","Alta","https://spherestandards.org/handbook/"
"IASC MHPSS","Guía humanitaria","Apoyo psicosocial","Orienta apoyo psicosocial, protección y coordinación de respuestas en emergencias.","Alta","https://interagencystandingcommittee.org/iasc-reference-group-mental-health-and-psychosocial-support-emergency-settings"
"Enfoque WASH / Bioseguridad en Campamentos","Marco operativo humanitario","Agua potable, saneamiento, higiene, bioseguridad e inocuidad alimentaria","Aporta pilares WASH, ruta fecal-oral, barreras de interrupción, bitácora diaria, metas de cloro residual y protocolos de cocina para convertir agua segura en servicio comunitario medible.","Alta operativa","Documento WASH incorporado"
"Gobernanza Inteligentizadora - Presentación Vice RAM","Marco institucional / inteligentista","Productivización, servitización, mapa de talento y gobernanza por datos","Aporta la lógica de evolución institucional: datos en tiempo real, talento, procesos optimizados, productivización/servitización, modelos exponenciales y océanos azules aplicados al agua potable.","Alta conceptual","Presentación incorporada"
"Manual Esfera / WASH en emergencias","Estandar humanitario","Curso WASH Flash y parametros de respuesta","Alinea agua, saneamiento e higiene con estandares minimos y acciones de emergencia.","Alta","https://spherestandards.org/handbook/"
"UNICEF WASH","Agencia internacional","Escuela WASH y sensibilizacion comunitaria","Aporta marco de agua, saneamiento e higiene para prevenir enfermedades y activar practicas familiares.","Alta","https://www.unicef.org/wash"
"WHO Hand Hygiene","Organismo sanitario internacional","Lavado de manos e higiene","Soporta la demostracion rapida de tecnica de lavado de manos para cortar transmision.","Alta","https://www.youtube.com/watch?v=3PmVJQUCm4E"
"PAHO TV Agua y Saneamiento","Organismo regional OMS/OPS","Videos en espanol para entrenamiento","Aporta contenido audiovisual confiable para reforzar el aprendizaje en campamentos.","Alta","https://www.youtube.com/playlist?list=PL6hS8Moik7ktgFrWNWE8dwHWWDQD1MPXH"
"Manual Esfera / Sphere Handbook - WASH","Estándar humanitario","Estándares mínimos de respuesta humanitaria WASH","Sustenta el curso flash WASH, las acciones mínimas, los indicadores y la rendición de cuentas con la población afectada.","Alta","https://spherestandards.org/handbook/"
"UNICEF - WASH in Emergencies","Agencia ONU / guía programática","Respuesta WASH en emergencias","Sustenta la necesidad de preparar servicios WASH para niños, familias y comunidades en crisis, incluyendo desastres naturales.","Alta","https://www.unicef.org/wash/emergencies"
"OPS/PAHO - Notas técnicas WASH en emergencias","Guía técnica sanitaria","Planificación de respuestas urgentes y de mediano plazo en agua y saneamiento","Sustenta contenidos prácticos de la Escuela WASH Flash y la planificación operativa de agua, saneamiento e higiene.","Alta","https://www.paho.org/es/emergencias-salud/notas-tecnicas-sobre-agua-saneamiento-higiene-emergencias"
"CDC Global WASH en español","Agencia sanitaria pública","Conceptualización de agua limpia, saneamiento seguro e higiene","Refuerza la explicación de WASH como protección contra enfermedades graves como cólera, fiebre tifoidea y diarrea.","Alta","https://www.cdc.gov/global-water-sanitation-hygiene/es/about/index.html"
