"Eje","Tipo","Aspecto","Detalle","Implicacion","Accion_sugerida"
"Intorno","Fortaleza","Padrinos y responsables por logística","Cada campamento tiene padrino y responsables por área logística","Existe gobernanza operativa básica","Formalizar roles y tablero de responsables"
"Intorno","Fortaleza","Conectividad","Acceso a internet vía Starlink","Permite registros y comunicación digital","Activar bitácora digital y canales oficiales"
"Intorno","Fortaleza","Vulnerabilidad documentable","Condición de vulnerabilidad da acceso a ayudas humanitarias","Facilita gestión ante donantes","Documentar necesidades y evidencias"
"Intorno","Debilidad","Historia viva inexistente","No existe registro integral de competencias habilitantes y necesidades","Impide asignar roles y atender vulnerabilidades","Crear módulo de historia viva y mapa de talento"
"Intorno","Debilidad","Rutas de resiliencia/transiliencia","Rutas de gestión no formalizadas","Se queda en atención pasiva","Crear ruta R-T con brigadas y beneficios"
"Intorno","Debilidad","Inacción existente","Formas insuficientes de atender la inacción","Puede generar pasividad y dependencia","Activar microservicios comunitarios"
"Intorno","Oportunidad","Profesionales dignificados","Profesionales dentro del campamento pueden apoyar necesidades internas y de otros campamentos","Capital humano disponible","Registrar oficios y asignar roles"
"Intorno","Oportunidad","Acciones exitosas transferibles","Prácticas acertadas pueden modelar procesos en otros campamentos","Aprendizaje entre campamentos","Crear repositorio de buenas prácticas"
"Intorno","Amenaza","Hacinamiento ocioso","El hacinamiento ocioso puede generar conflictos sociales","Riesgo de convivencia y violencia","Crear brigadas y actividades productivas"
"Intorno","Amenaza","Riesgo epidemiológico","Enfermedades por desconocimiento de patologías personales","Riesgo sanitario","Registrar patologías y activar vigilancia de salud"
"Intorno","Amenaza","Calidad del agua","Afecciones por mala calidad de agua","Riesgo WASH","Monitorear agua y activar racionamiento seguro"
"Entorno","Fortaleza","Organizaciones y grupos sociales","Actores dispuestos a brindar ayuda","Existe red local potencial","Mapear actores y oferta de apoyo"
"Entorno","Fortaleza","Operativos e insumos","Operativos e insumos destinados a dignificados temporales","Existen recursos cercanos","Inventariar y canalizar recursos"
"Entorno","Debilidad","Desconocimiento de áreas de ayuda","No se sabe dónde pueden ayudar grupos externos","Baja eficiencia de cooperación","Crear matriz actor-capacidad-necesidad"
"Entorno","Debilidad","Desconocimiento de necesidades específicas","No se conocen necesidades por campamento","Ayuda puede llegar mal dirigida","Actualizar requerimientos diarios"
"Entorno","Oportunidad","Insumos acopiados","Insumos disponibles en entorno aunque no tabulados","Recurso paralizado aprovechable","Crear inventario inteligenciado"
"Entorno","Oportunidad","Voluntariado local","Voluntariado cercano puede apoyar actividad dignificadora","Capacidad de servicio local","Registrar y activar voluntarios"
"Entorno","Amenaza","Burocratismo","Procedimientos de ayuda externos burocráticos","Retrasa respuesta","Crear protocolo de enlace y trazabilidad"
"Entorno","Amenaza","Servicios críticos externos","Acometidas de agua, luz y energía pueden fallar","Riesgo de continuidad","Definir alternativas y contingencias"
"Extorno","Fortaleza","Experiencias exitosas","Existen experiencias exitosas para atender realidad contextual","Aprendizaje externo aplicable","Incorporar buenas prácticas sísmicas"
"Extorno","Fortaleza","Organizaciones de apoyo","Organizaciones pueden apoyar necesidades de campamentos","Capacidad de ayuda externa","Mapear cooperación potencial"
"Extorno","Debilidad","Desconocimiento internacional","Organizaciones internacionales no saben dónde aplicar su acción","Ayuda disponible puede perderse","Crear mesa técnica de articulación"
"Extorno","Debilidad","Falta de articuladores","Insuficientes articuladores de beneficios internacionales","Baja captura de ayuda","Designar enlace de cooperación"
"Extorno","Oportunidad","Destrezas internacionales","Organismos con destrezas específicas en siniestros similares","Especialización útil","Asignar demandas por especialidad"
"Extorno","Oportunidad","Insumos físicos y cognitivos","Organizaciones con insumos requeridos por campamentos","Recursos para escalar respuesta","Canalizar donaciones y conocimiento"
"Extorno","Amenaza","Bloqueos a ayuda","Posibles bloqueos a ayudas internacionales","Riesgo de no recepción","Preparar rutas alternativas y gestión legal"
"Extorno","Amenaza","Condiciones inaceptables","Condiciones inaceptables para provisión de ayuda","Riesgo ético y operativo","Definir criterios de aceptación de ayuda"
