"Beneficio","Descripcion","Indicador","Eje"
"Seguridad","Reducir riesgos críticos de vida, estructura y convivencia","Incidentes críticos y zonas inseguras controladas","Intorno"
"Salud y salubridad","Prevenir enfermedades y atender personas vulnerables","Casos atendidos; alertas epidemiológicas; higiene","Intorno"
"Confianza y gobernanza","Reducir rumores y aumentar legitimidad de decisiones","Boletines emitidos; quejas resueltas; voceros activos","Intorno/Entorno"
"Organización comunitaria","Activar brigadas y roles funcionales","Brigadas activas; turnos; responsables por área","Intorno"
"Sostenibilidad operativa","Mejorar agua, energía, alimentación, inventario y continuidad","Días de autonomía; inventario actualizado; cadena de frío","Intorno/Entorno"
"Captación de ayuda","Conectar necesidades reales con organismos locales e internacionales","Solicitudes canalizadas; donaciones recibidas","Entorno/Extorno"
"Productivización","Convertir capacidades de dignificados en servicios internos útiles","Microservicios activos; horas de servicio comunitario","Intorno"
"Servitización","Organizar servicios comunitarios repetibles y medibles","Servicios definidos; beneficiarios atendidos","Intorno/Entorno"
"Aprendizaje y buenas prácticas","Incorporar experiencias sísmicas acertadas y capacitación","Prácticas incorporadas; personas capacitadas","Extorno/Intorno"
"Transiliencia ciudadana","Pasar de recuperación a ciudadanía organizada y corresponsable","Índice de transiliencia; comités; cultura preventiva","Sistema"
